LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA36630,4080,8081,43,268,296,1443,141,651,1600,6512,2080,8875,85,331,165,498,553,1700,804,2533,2879,11407,12,57,105,400,71,272,672,1931,859,2661,29,92,80,173,460,960,568,1225,1436,3888,118,258,8511,23626
LGA36660,4375,8666,80,481,385,1853,118,532,1781,7222,2367,10092,152,593,230,715,665,2055,1047,3361,3415,13452,24,108,107,388,69,275,684,1894,887,2664,38,123,90,194,474,1014,604,1329,1486,3990,139,296,9420,26402
LGA36720,35444,70036,487,2627,3138,14208,984,4372,17670,68638,22286,89851,1309,5322,2540,8168,5530,17104,9383,30599,31668,120454,126,556,909,3060,452,1542,5128,13666,6614,18824,404,1266,1319,2892,4103,8692,5828,12843,12447,31674,915,1893,80469,224052
LGA36820,3216,6305,42,242,222,1054,90,420,1193,4781,1549,6497,60,255,139,413,444,1377,646,2046,2192,8544,16,71,84,312,50,172,480,1374,635,1934,31,89,80,165,343,718,455,970,1092,2906,97,198,6594,17953
LGA36910,17479,34509,379,2167,1790,8535,537,2483,9548,38428,12248,51605,657,2683,1199,3811,2895,8909,4747,15406,16993,67016,103,517,553,2007,269,999,2864,8023,3790,11548,227,728,542,1158,2028,4279,2798,6169,6589,17719,595,1238,41659,120479
LGA36950,152,293,10,99,28,141,45,257,178,759,259,1258,8,41,6,18,50,184,63,242,325,1502,10,50,16,60,22,101,82,261,128,465,5,8,4,14,33,79,40,101,175,566,32,63,678,2427
LGA36960,124,274,10,110,14,84,73,418,286,1314,381,1916,4,15,3,12,59,236,66,259,450,2179,0,4,4,23,29,126,250,768,281,919,0,3,5,10,73,192,74,205,356,1125,32,79,967,3657
LGA37010,18327,35751,324,1812,2014,9336,633,2872,11517,44403,14491,58424,793,3268,1590,5174,3028,9312,5408,17750,19900,76169,120,576,682,2483,351,1274,3965,10971,5122,15301,290,910,803,1721,2397,5103,3490,7731,8609,23033,809,1694,47645,136641
LGA37300,307,598,10,63,47,215,15,79,355,1408,424,1753,15,49,14,43,61,181,91,272,518,2029,0,3,3,10,4,25,41,115,52,157,0,9,6,13,18,42,24,59,79,219,3,12,907,2862
LGA37310,3420,6726,49,287,358,1674,101,452,2081,8438,2591,10854,116,473,200,589,518,1585,837,2644,3429,13499,17,84,91,330,54,193,615,1784,776,2389,18,62,80,160,368,785,465,1008,1243,3403,103,209,8188,23839
LGA37340,3547,6952,40,207,254,1157,94,419,1883,7257,2271,9043,82,328,170,514,491,1480,744,2322,3016,11367,10,56,77,283,47,157,577,1553,715,2050,25,87,88,180,313,655,434,917,1142,2966,88,191,7798,21482
LGA37400,139,267,0,5,5,17,7,24,61,227,73,270,0,10,4,23,19,52,25,82,94,351,0,3,0,0,0,0,17,52,20,57,0,0,5,6,7,15,17,24,33,78,3,12,280,706
LGA37550,21,38,0,17,5,36,10,71,31,159,49,283,0,5,0,9,6,18,6,34,57,313,3,6,5,30,15,80,66,212,88,331,0,0,0,9,23,59,20,68,110,397,17,47,206,795
LGA37570,8,23,0,0,0,0,0,0,17,86,17,86,0,0,0,0,4,25,4,25,29,106,0,0,0,0,3,8,10,37,17,45,0,0,0,3,13,44,15,49,27,94,10,18,72,235
LGA37600,47,112,14,133,14,109,46,291,100,494,184,1029,6,29,4,8,39,155,45,194,223,1218,6,54,14,71,24,137,124,391,174,654,7,39,3,8,69,184,77,233,254,892,34,89,558,2313
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
