LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA32310,50,209,46,100,9,450,15,7,104,80,145,29,378,0,0,0,0,11,0,17,0,3,7,15,78,3,115,3,0,7,4,46,20,78,74,81,483,319,1290,151,2396
LGA32330,0,0,3,7,0,12,0,0,0,8,10,0,19,0,0,0,0,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,4,0,18,40,6,61
LGA32450,9,40,10,9,3,81,0,0,27,8,15,3,56,0,0,0,0,3,3,8,0,0,0,5,27,3,34,0,0,0,3,10,9,24,43,24,180,117,444,43,847
LGA32500,15,51,18,25,3,128,13,8,44,39,48,11,157,0,0,0,9,21,3,33,0,0,0,7,38,7,49,0,0,8,3,25,13,52,43,38,210,183,561,94,1128
LGA32600,0,4,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,27,7,52
LGA32750,0,3,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,22,12,48,0,86
LGA32770,4,17,0,4,3,36,0,0,3,7,14,3,29,0,0,0,0,0,0,0,0,3,0,0,21,0,20,0,0,0,0,0,0,0,10,4,23,15,53,11,116
LGA32810,38,109,36,52,7,269,16,17,108,75,110,16,344,4,3,19,10,31,4,76,0,0,11,25,94,4,143,7,3,15,21,86,33,166,142,110,741,622,1694,233,3536
LGA33100,0,6,0,0,0,11,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,25,26,79,15,154
LGA33200,3,16,0,3,0,28,0,0,11,5,3,0,23,0,0,0,0,4,0,4,0,0,3,3,12,0,15,0,0,0,0,4,0,10,3,5,63,48,191,28,341
LGA33220,274,1147,396,614,75,2697,296,191,1341,893,1719,167,4602,0,3,29,47,94,10,176,23,7,47,113,708,42,937,10,6,61,85,427,134,721,673,667,3808,3344,10738,1038,20272
LGA33360,165,860,203,365,44,1743,72,69,554,337,513,60,1609,3,0,19,24,55,5,104,9,4,40,71,548,13,690,7,3,58,77,408,110,668,535,443,3190,2289,9724,784,16965
LGA33430,1777,7590,2728,2985,408,18213,2869,1185,9402,5949,6295,940,26639,194,65,1112,962,1924,203,4462,187,72,851,1424,4841,273,7659,302,96,1353,1226,3231,1113,7323,11289,5207,43159,33100,70002,7620,170374
LGA33610,29,172,47,69,8,334,10,10,103,83,124,12,353,0,0,0,3,6,0,13,0,0,4,15,113,0,134,3,0,17,16,38,19,93,67,63,622,483,1270,152,2653
LGA33620,126,516,207,330,41,1302,73,63,406,442,576,55,1611,3,3,19,18,41,5,97,9,3,31,75,412,17,548,4,3,28,50,258,80,429,282,287,1720,1748,5825,549,10417
LGA33800,23,160,34,77,11,327,10,10,103,78,163,17,372,3,0,3,3,10,0,22,4,0,7,7,106,5,127,0,0,4,14,50,27,91,48,45,440,304,1530,170,2545
LGA33830,3,4,0,6,0,18,0,0,0,6,12,0,18,0,0,0,0,0,0,0,0,0,0,3,21,11,34,0,0,0,0,0,3,3,0,3,11,19,102,20,151
LGA33960,482,2194,823,1300,107,5472,539,367,2517,2086,2881,266,8662,13,16,102,96,247,23,498,53,36,219,352,1621,71,2354,60,14,192,242,1093,385,1979,2397,1493,10426,9327,25623,2182,51446
