LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA36300,90,0,0,3,5,99,70,0,0,0,3,67,20,0,0,0,0,20,8,10,0,0,0,17,13,0,0,3,0,16,0,0,0,0,0,0,44,0,0,0,0,44,4,0,0,0,3,9,97,10,0,3,0,110,9,0,0,0,0,9,9,0,0,0,0,10,271,10,0,4,10,295
LGA36370,7717,215,106,108,19,8168,9310,120,80,32,18,9551,4070,795,539,16,13,5435,651,291,150,3,8,1091,1955,176,141,7,16,2299,80,131,60,0,0,269,216,39,24,37,12,329,147,26,14,4,3,190,7119,1448,928,64,52,9614,104,84,6,6,7,208,625,97,54,22,41,830,24867,1968,1177,228,131,28375
LGA36510,4819,88,66,100,17,5090,4944,44,12,31,10,5042,1569,199,74,6,3,1852,94,50,0,0,0,144,962,54,20,19,4,1059,23,18,0,0,0,40,156,15,0,14,4,193,117,5,3,0,3,126,2925,337,101,43,18,3422,74,12,14,8,0,107,341,19,8,18,3,388,13100,500,202,196,47,14043
LGA36580,2983,12,0,39,35,3065,2935,10,0,17,19,2978,1216,38,23,0,6,1285,15,0,3,0,0,16,622,4,6,9,4,641,13,3,8,0,0,19,122,3,3,26,6,165,80,0,0,3,0,79,2071,54,37,38,19,2212,56,6,0,3,0,68,239,5,3,8,12,259,8279,81,39,99,86,8579
LGA36630,4700,25,21,106,7,4865,3350,21,9,31,14,3424,1621,177,210,0,8,2023,110,48,46,0,3,202,795,11,25,15,5,859,27,13,29,0,0,76,149,4,23,25,3,208,109,5,12,6,5,134,2814,264,349,49,24,3502,87,0,0,5,0,90,333,15,21,17,0,388,11275,321,409,204,49,12265
LGA36660,4995,139,33,68,22,5259,3712,39,7,23,22,3811,1624,293,158,3,19,2094,94,61,29,0,0,189,906,67,45,17,13,1047,20,17,29,0,0,73,184,9,6,42,6,247,106,3,4,10,0,124,2936,452,268,74,39,3771,74,37,5,3,0,118,326,35,21,12,4,402,12046,703,334,184,89,13355
LGA36720,27735,4293,2819,896,169,35913,32209,1882,1614,79,110,35902,11681,3666,5205,32,93,20688,675,701,863,0,10,2262,4642,965,1452,76,80,7220,94,136,134,3,4,370,373,157,155,355,15,1054,352,78,87,18,4,537,17819,5709,7890,492,220,32125,626,1157,148,17,11,1959,1584,483,444,100,73,2685,79971,13524,12917,1586,590,108589
LGA36820,3792,40,55,117,13,4018,2378,4,20,18,14,2439,796,61,125,5,6,988,105,53,74,0,0,226,806,55,80,15,5,958,43,18,18,0,0,82,130,8,11,37,5,201,91,5,11,11,0,120,1982,203,315,64,13,2574,69,3,0,3,0,83,236,6,25,16,7,292,8462,258,412,221,46,9397
LGA36910,16928,1261,417,144,65,18808,17917,624,198,66,66,18869,7525,2803,1290,27,54,11705,640,483,192,3,9,1324,3120,503,225,14,31,3888,90,99,65,0,3,262,643,76,39,45,30,830,269,42,16,0,3,339,12290,4001,1825,95,132,18345,215,309,93,3,17,631,1048,268,107,17,116,1548,48398,6466,2638,322,385,58204
LGA36950,67,3,0,3,0,76,27,3,0,0,0,35,8,0,0,0,0,8,218,12,48,0,0,282,50,0,8,0,0,59,44,7,4,0,0,56,169,24,30,3,0,219,19,3,4,3,0,30,500,47,92,6,0,646,4,0,0,0,0,6,121,11,8,8,0,147,722,61,100,21,0,908
