LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA35800,7,8,22,3,4,6,9,19,27,4,26,36,15,59,77,18,23,35,42,21,65,25,23,54,37,16,50,40,4,49,18,7,22,23,0,25,33,7,38,17,0,24,13,0,13,7,3,15,15,3,12,53,4,52,7,17,25,390,254,647
LGA36070,0,0,0,3,0,3,7,14,26,10,7,15,25,0,26,13,3,17,19,3,23,16,0,16,17,0,19,14,0,12,12,3,10,7,6,14,11,7,13,5,0,5,0,0,0,0,0,0,3,0,3,6,0,8,0,3,5,173,45,218
LGA36150,4,7,13,3,5,9,0,9,9,4,8,12,4,15,23,3,11,13,20,12,31,14,11,26,14,10,22,22,7,25,5,3,9,18,4,18,23,4,32,14,0,17,10,0,10,8,0,12,3,0,3,31,4,33,3,11,13,201,125,319
LGA36250,251,296,546,161,152,313,183,653,836,198,1025,1223,874,2496,3375,995,1242,2239,2829,1049,3876,2253,1053,3306,3033,1053,4082,2986,664,3651,2510,517,3026,2704,402,3107,5436,530,5970,3959,72,4033,2489,49,2538,1753,176,1920,3317,37,3354,3718,234,3954,534,571,1104,40171,12274,52446
LGA36300,0,3,4,0,0,3,0,3,4,3,11,14,8,14,22,3,6,10,14,16,27,13,9,22,27,7,31,17,8,22,19,4,23,9,4,11,17,8,28,12,0,12,7,0,7,6,5,4,4,0,4,32,0,34,4,5,8,195,97,295
LGA36370,132,186,320,97,123,220,162,471,627,174,734,908,621,1665,2285,675,742,1421,1665,676,2341,1339,728,2065,1593,767,2359,1603,492,2099,1351,378,1730,1358,269,1625,2471,362,2829,1621,73,1690,935,31,966,546,138,684,984,41,1020,2252,180,2434,304,439,738,19890,8480,28375
LGA36510,87,80,165,53,54,103,66,165,231,61,296,358,344,795,1136,355,400,757,1021,304,1326,773,318,1092,963,278,1244,1006,151,1155,716,137,847,724,72,799,1248,92,1340,698,14,712,494,0,492,293,46,335,440,6,447,1072,58,1127,190,192,377,10591,3454,14043
LGA36580,53,72,131,41,37,84,52,148,197,50,214,264,255,551,809,226,193,418,723,176,898,544,193,741,643,189,837,559,111,667,433,81,520,410,60,472,693,48,743,367,11,380,193,4,197,103,19,124,191,12,197,641,39,684,126,96,226,6315,2267,8579
LGA36630,71,98,163,52,57,115,82,258,339,79,389,465,412,1027,1441,364,349,718,1225,332,1552,764,350,1115,849,233,1088,821,146,965,509,104,612,443,59,502,737,92,836,419,17,438,231,10,232,136,55,185,210,3,219,762,64,821,196,262,458,8368,3895,12265
LGA36660,83,92,176,63,75,143,85,275,366,76,399,471,379,1014,1388,373,458,832,1231,373,1605,801,360,1161,1048,260,1308,971,149,1127,608,87,697,619,70,692,890,73,970,450,8,464,231,3,230,118,44,156,179,3,183,879,54,930,195,259,450,9278,4071,13355
LGA36720,614,665,1286,365,318,688,512,1449,1957,470,2392,2861,2110,5711,7822,2300,3414,5715,6789,2586,9374,5632,2669,8306,7397,2498,9897,7178,1691,8869,5335,1237,6579,5254,893,6142,9484,1193,10678,6141,253,6397,3592,122,3715,2325,506,2828,4376,118,4495,7709,868,8573,1048,1362,2412,78641,29948,108589
LGA36820,56,80,135,69,38,110,69,192,267,54,322,378,261,729,990,244,286,529,778,242,1013,536,262,797,691,214,907,543,117,658,366,62,433,374,40,418,621,54,676,374,5,386,193,3,202,105,34,135,228,3,236,747,39,782,155,204,356,6468,2926,9397
LGA36910,288,336,627,213,201,410,262,770,1027,265,1311,1581,1096,3349,4444,1219,1811,3024,3611,1473,5083,2846,1693,4540,3606,1617,5229,3633,964,4591,2823,787,3608,2833,536,3372,5227,694,5916,3374,137,3509,1965,66,2031,1192,255,1445,2127,52,2182,3808,366,4176,552,844,1399,40943,17260,58204
LGA36950,0,4,6,0,3,9,4,13,16,8,10,18,11,18,27,7,14,25,30,10,41,25,12,40,22,17,41,35,20,54,28,27,50,29,16,49,78,30,112,57,10,68,39,0,41,25,0,33,46,6,52,111,16,125,53,60,115,611,293,908
