LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA32770,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,10,12,3,12,0,19,4,31,0,65,0,159
LGA32810,0,0,0,45,23,5,0,17,5,11,0,3,3,14,69,146,3,0,0,4,0,0,0,0,0,0,8,12,220,50,17,293,15,110,15,38,19,62,83,923
LGA33100,0,0,0,4,7,0,0,0,0,0,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,3,29,0,3,16,3,8,0,5,0,12,4,81
LGA33200,0,0,0,7,10,0,0,3,0,0,0,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,41,3,25,0,0,0,5,12,143
LGA33220,3,23,4,339,96,17,3,94,11,78,9,50,10,109,617,1080,10,0,3,5,8,3,3,4,8,24,38,100,1482,407,76,2029,209,1375,126,692,125,1335,687,8549
LGA33360,12,14,0,927,106,12,8,106,12,98,12,23,13,43,632,1074,6,0,3,10,7,9,0,0,7,4,21,75,1364,164,71,1923,214,1826,88,333,133,546,676,7340
LGA33430,33,122,9,5944,897,187,44,906,89,570,39,235,72,413,3505,6968,78,18,60,86,25,42,12,15,26,50,153,563,13664,2834,461,18352,1874,11032,583,3270,709,4351,3781,60903
LGA33610,0,0,0,60,37,5,0,31,0,6,0,3,3,0,55,141,0,0,0,3,0,0,0,0,0,0,0,10,279,27,8,386,35,166,15,31,9,63,66,1081
LGA33620,7,10,0,170,57,18,3,81,5,56,6,35,11,54,304,618,8,0,10,9,0,3,0,0,0,8,18,56,760,199,40,1134,105,746,76,343,86,686,340,4514
LGA33800,0,0,0,61,18,0,0,36,0,10,0,4,3,8,52,141,5,0,0,5,0,0,0,0,0,3,3,18,232,35,11,405,21,148,10,48,17,75,62,1061
LGA33830,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,10,3,21,0,4,0,35,0,90
LGA33960,5,12,5,1289,355,36,19,299,49,225,15,84,37,185,1203,2514,33,6,14,26,3,10,5,0,12,35,69,219,5373,695,171,5754,836,4934,229,1237,361,1947,1327,22872
LGA33980,8,0,0,461,46,4,8,41,8,30,0,9,0,0,168,314,3,0,3,3,0,4,0,0,0,0,9,31,490,63,36,693,105,687,32,70,58,48,185,2468
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,14,0,4,0,38,0,79
