LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA31900,5781,14475,37,62,8,14,43,78,517,781,0,0,0,0,0,0,522,785,92,166,7,9,18,32,20,51,138,257,51,81,6530,15674,1106,..,7641,15674
LGA31950,62,245,0,4,0,0,0,4,0,3,0,0,0,3,0,0,0,6,11,49,0,0,3,5,4,5,13,63,9,19,91,342,21,..,110,342
LGA32080,39903,111528,2832,5233,2511,4644,5334,9881,5340,9536,3176,6175,1065,2052,9,28,9591,17790,240,426,184,279,23,43,95,224,541,977,422,776,55790,140947,6483,..,62272,140947
LGA32250,523,1483,6,7,0,0,6,7,26,42,0,0,0,0,0,0,26,42,61,123,5,5,7,24,0,3,77,154,25,54,655,1741,115,..,772,1741
LGA32260,9198,22987,186,309,46,79,226,388,688,1312,24,42,21,48,3,3,742,1407,181,315,48,69,22,39,133,237,377,661,87,185,10621,25624,1767,..,12390,25624
LGA32270,7524,21114,249,432,71,145,322,582,512,843,3,0,0,0,0,3,515,846,128,245,18,37,66,118,20,38,238,440,311,738,8906,23712,2792,..,11706,23712
LGA32310,3835,9451,62,111,3,3,64,112,143,212,0,0,0,0,3,4,144,212,61,103,3,10,0,0,22,39,89,153,31,82,4157,10009,739,..,4898,10009
LGA32330,263,1182,8,18,0,7,6,26,8,11,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,281,1222,15,..,301,1222
LGA32450,729,1977,17,30,3,0,13,38,85,129,0,0,0,0,0,0,85,129,55,95,4,9,0,0,3,4,60,106,27,68,922,2316,292,..,1213,2316
LGA32500,1128,2914,8,20,0,0,8,20,88,134,0,0,0,0,0,0,88,134,73,160,29,57,34,63,11,34,150,319,20,36,1400,3426,260,..,1653,3426
LGA32600,76,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,0,0,0,0,7,12,3,15,85,215,42,..,129,215
LGA32750,80,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,5,8,3,5,86,216,35,..,119,216
LGA32770,205,1194,4,18,19,38,22,54,39,137,0,0,0,0,0,0,39,137,0,4,0,0,0,0,0,0,4,10,0,0,268,1396,21,..,290,1396
LGA32810,3025,7533,229,432,242,496,475,930,382,668,70,146,29,54,0,0,480,868,69,125,38,64,13,18,26,54,143,259,75,186,4197,9773,903,..,5108,9773
LGA33100,248,602,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,40,50,0,13,4,5,0,3,51,74,16,38,319,720,93,..,413,720
LGA33200,387,895,171,400,0,0,171,400,4,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,3,0,3,27,47,586,1352,184,..,770,1352
LGA33220,33377,82709,1990,3106,1183,2037,3173,5144,822,1240,175,260,224,372,3,5,1225,1880,576,913,200,333,85,192,35,92,896,1525,321,640,38988,91897,5027,..,44016,91897
