LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA32250,3,0,6,3,5,3,3,5,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,6,4,4,3,0,4,0,3,22,63,87,69,69,45,8,18,54,12,430
LGA32260,57,3,153,53,25,43,31,95,0,466,3,0,0,0,0,0,0,6,0,22,10,14,0,9,9,3,5,30,3,87,48,21,43,33,24,28,35,104,33,353,983,1211,1312,789,619,375,475,883,99,6747
LGA32270,53,4,126,57,59,38,77,42,3,457,4,0,0,0,0,0,0,3,0,11,15,5,21,7,11,0,23,7,3,101,33,14,48,22,24,30,67,62,17,322,1051,1378,1923,582,728,307,1029,547,88,7642
LGA32310,18,7,45,25,8,6,15,15,0,135,0,0,0,0,0,0,0,0,0,4,0,3,4,3,3,0,4,3,0,25,15,7,14,21,5,11,10,18,7,114,330,575,484,314,201,114,168,192,20,2396
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,12,8,26,6,0,0,10,0,61
LGA32450,7,0,10,11,8,6,13,4,0,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,13,3,0,3,3,4,0,9,7,3,39,97,191,185,70,82,23,122,72,3,847
LGA32500,8,3,21,11,4,5,3,13,0,75,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,3,6,0,17,11,13,11,3,10,4,10,13,7,83,162,274,176,134,107,45,67,140,21,1128
LGA32600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,11,4,3,0,9,12,3,52
LGA32750,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,13,6,17,16,18,0,3,13,0,86
LGA32770,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,10,35,6,33,11,3,0,8,5,116
LGA32810,74,4,188,89,30,40,5,44,3,476,0,0,0,0,0,0,0,0,0,7,3,5,6,9,8,0,0,3,0,31,18,10,27,18,8,13,4,31,22,155,560,594,704,536,319,255,137,382,53,3536
LGA33100,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,10,42,26,11,15,24,0,12,24,0,154
LGA33200,3,0,9,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,8,0,3,0,0,0,6,10,0,30,85,47,52,24,34,9,25,50,3,341
LGA33220,165,45,547,270,126,171,55,190,9,1580,0,3,6,5,3,0,0,4,4,24,30,43,34,37,17,11,30,32,9,232,48,44,98,92,57,71,69,120,84,680,1952,4802,3762,3511,2110,1335,945,1619,247,20272
LGA33360,80,15,287,121,93,97,107,104,5,913,7,4,3,0,0,3,9,7,0,33,21,28,33,28,19,10,60,24,4,221,43,29,120,46,33,36,86,84,69,549,1670,3401,4840,1637,1563,727,1539,1319,263,16965
LGA33430,1528,444,4368,2305,1531,1560,441,1219,148,13547,24,25,36,45,39,41,27,56,15,299,281,331,267,223,238,157,170,152,77,1902,419,353,700,479,437,508,339,587,686,4514,22407,43013,29679,21573,20071,13988,5871,11085,2692,170374
