LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA31900,45,51,9,28,20,6,4,9,3,173,59,54,30,99,53,17,9,20,0,337,327,70,769,198,166,92,282,244,23,2175,16,4,9,15,14,13,12,10,5,105,25,9,11,28,19,10,20,25,4,148,11,7,3,3,7,0,4,11,0,45,27,15,17,15,15,24,31,45,22,209,622,747,888,447,353,170,379,421,58,4084
LGA31950,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,10,4,0,8,0,3,0,3,5,0,36,0,0,0,0,5,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,21,11,14,4,13,0,4,7,3,82
LGA32080,489,918,299,542,413,185,88,139,53,3126,782,806,538,1333,966,456,154,252,82,5362,1834,900,6767,2431,2032,1214,1238,1506,275,18187,67,65,112,175,199,239,66,168,8,1101,151,139,133,383,284,188,103,183,25,1585,76,128,74,95,69,48,17,62,9,588,144,210,211,242,168,188,146,252,169,1723,5506,12768,8718,6715,5536,3135,1962,2944,761,48050
LGA32250,7,5,4,3,6,0,0,0,0,27,8,9,6,17,4,0,0,0,3,49,27,16,53,24,24,4,15,32,0,191,3,0,0,4,0,0,0,4,0,13,3,0,3,0,0,0,0,3,0,15,0,3,0,3,0,0,0,0,0,6,3,5,5,3,3,0,3,9,3,32,63,87,69,69,45,8,18,54,12,430
LGA32260,74,110,15,67,35,23,14,40,3,375,100,92,52,135,88,26,28,61,7,594,461,114,1101,320,301,173,340,436,45,3289,15,8,9,31,32,35,12,46,0,189,35,11,22,50,28,31,12,51,5,251,14,9,8,14,9,7,13,20,0,84,56,30,47,38,27,34,46,119,24,423,983,1211,1312,789,619,375,475,883,99,6747
LGA32270,96,54,45,46,33,12,23,15,3,330,135,84,87,112,121,33,51,44,13,678,393,107,1585,239,316,136,753,276,52,3850,31,3,22,23,46,34,33,46,0,230,46,11,20,39,35,16,57,35,5,261,9,3,12,9,3,5,6,5,0,48,47,18,45,20,26,36,70,69,17,359,1051,1378,1923,582,728,307,1029,547,88,7642
LGA32310,23,35,11,24,10,6,3,3,0,111,37,30,16,61,30,9,3,9,3,203,141,51,402,127,95,45,127,117,13,1115,13,3,10,11,9,16,3,14,0,75,13,9,15,26,3,9,7,18,0,103,3,3,5,3,0,3,5,3,0,23,21,13,12,21,12,15,14,19,5,121,330,575,484,314,201,114,168,192,20,2396
LGA32330,0,3,0,3,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,13,0,8,8,14,3,0,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,12,8,26,6,0,0,10,0,61
LGA32450,9,20,0,3,3,4,6,4,0,47,7,8,12,14,17,0,11,4,0,64,39,12,155,23,30,14,87,47,0,397,0,0,0,5,5,3,0,6,0,23,3,0,3,3,3,0,4,0,0,19,0,0,0,0,3,0,0,3,0,7,0,0,3,3,4,0,12,6,4,37,97,191,185,70,82,23,122,72,3,847
LGA32500,9,22,7,11,8,3,0,8,0,67,18,27,8,27,9,3,3,10,0,112,53,46,138,51,44,23,49,60,13,468,3,3,10,9,6,5,0,7,0,48,17,3,0,4,4,0,3,14,0,45,3,0,0,0,4,0,0,5,0,12,9,13,9,5,10,3,8,14,7,80,162,274,176,134,107,45,67,140,21,1128
LGA32600,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,6,3,3,0,3,3,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,11,4,3,0,9,12,3,52
LGA32750,3,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,8,0,9,7,3,0,3,8,0,42,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,17,16,18,0,3,13,0,86
LGA32770,0,0,0,3,3,0,0,0,0,8,3,0,0,3,3,0,0,0,0,8,0,3,4,14,3,3,0,3,0,31,0,0,0,3,0,0,0,3,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,10,35,6,33,11,3,0,8,5,116
LGA32810,61,42,26,48,37,27,4,26,3,260,72,44,37,107,28,28,9,35,0,361,181,66,542,164,121,93,91,187,15,1450,10,7,11,21,14,4,3,22,0,89,19,21,5,35,16,21,5,27,4,153,8,4,0,6,3,3,5,8,0,36,22,17,24,30,17,15,9,34,22,194,560,594,704,536,319,255,137,382,53,3536
