LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA36250,36534,37845,74377,4364,4618,8981,1298,1442,2736,523,567,1089,18294,19486,37782,165,146,311,231,246,478,109,119,223,88,112,203,113,108,228,0,0,0,20830,22223,43056,1997,2273,4273,530,541,1078,27716,29660,57378,3512,3645,7160,67766,71141,138907
LGA36300,182,159,341,50,40,90,9,3,13,3,0,3,99,94,190,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,109,106,209,7,11,15,0,5,7,169,156,319,38,34,69,382,351,736
LGA36370,18687,18673,37361,2202,2381,4582,334,347,685,203,218,425,10347,11383,21728,79,74,149,107,98,203,44,49,94,69,68,136,22,24,41,7,0,7,11213,12259,23472,866,895,1765,369,461,830,14646,15998,30648,3308,2902,6212,36645,37577,74217
LGA36510,10155,10338,20488,1905,2187,4094,426,464,896,117,128,244,3719,3972,7694,31,35,69,51,51,103,27,30,62,35,43,77,16,17,28,0,3,3,4433,4748,9175,279,328,608,134,144,283,6756,7412,14159,1822,1586,3401,18723,19325,38057
LGA36580,6264,5978,12248,972,1022,1996,194,214,402,67,79,151,2479,2675,5159,33,28,65,19,37,57,15,13,27,49,43,91,7,3,18,0,0,0,2872,3095,5962,197,180,377,109,92,194,4151,4386,8534,1185,1064,2250,11597,11430,23032
LGA36630,8417,8171,16584,1733,1852,3576,173,177,346,65,70,131,2963,3217,6182,31,39,67,30,50,82,11,12,21,32,29,60,0,0,3,0,0,0,3306,3592,6901,113,143,255,119,112,232,5266,5697,10965,1507,1305,2818,15190,15178,30368
LGA36660,9337,9518,18854,1869,2100,3972,408,421,824,71,71,138,2836,2980,5817,35,34,70,47,49,94,25,19,40,24,29,57,6,7,16,0,0,0,3450,3603,7053,254,283,536,95,113,204,5676,6091,11766,1260,1237,2498,16275,16845,33114
LGA36720,62090,65943,128038,9459,10251,19712,3593,4044,7635,2056,2328,4384,38789,42895,81685,526,556,1087,843,871,1711,405,480,888,439,481,921,308,352,657,4,4,8,46963,52007,98971,4969,5733,10698,1236,1166,2394,62615,69158,131777,9278,9622,18897,133986,144729,278716
LGA36820,6441,6526,12971,1144,1280,2426,98,93,196,84,81,163,2155,2333,4489,34,26,56,77,66,137,22,13,38,79,99,179,3,9,12,0,0,0,2548,2715,5261,157,196,354,103,113,211,3951,4302,8256,1131,1143,2278,11524,11976,23497
LGA36910,35962,37980,73937,4633,4970,9602,1386,1538,2928,367,387,753,21027,23095,44115,189,188,373,210,218,423,86,103,195,227,214,443,95,90,179,0,0,0,23589,25820,49407,2424,2315,4743,536,513,1052,31179,33626,64804,5770,5955,11724,72905,77557,150468
LGA36950,841,824,1663,98,140,238,14,17,31,22,13,33,303,315,617,0,4,4,3,11,14,3,3,9,9,6,19,5,4,9,0,0,0,362,376,743,21,28,44,72,59,132,555,604,1162,235,235,478,1638,1661,3299
LGA36960,1551,1484,3035,54,65,125,12,5,14,0,0,0,223,239,457,4,3,10,8,3,10,0,0,0,7,4,10,0,0,0,0,0,0,251,258,508,4,12,16,64,53,121,376,393,769,91,83,177,2012,1960,3974
LGA37010,39360,39313,78670,4432,4723,9155,2370,2087,4460,1512,1471,2990,24966,27230,52201,452,451,903,570,567,1136,288,280,566,729,699,1432,310,289,598,0,0,3,31204,33090,64290,2553,2846,5404,859,750,1613,39048,41413,80461,8342,6652,14995,86751,87372,174121
LGA37300,701,573,1271,276,250,523,43,46,88,16,25,40,484,447,931,11,3,18,39,41,78,13,10,22,29,25,50,0,0,3,0,0,0,637,591,1227,36,42,80,20,15,30,970,896,1859,218,173,393,1888,1643,3531
LGA37310,7846,7355,15203,2412,2384,4800,315,283,591,48,60,113,2688,2714,5399,31,43,72,67,61,123,4,5,18,47,53,104,12,8,17,0,0,0,3213,3232,6443,297,338,634,86,101,190,6007,6058,12068,2038,1745,3783,15890,15163,31052
LGA37340,7321,6557,13878,2108,2049,4159,445,443,893,261,313,573,2635,2617,5255,101,88,188,121,131,251,30,39,65,53,52,108,17,19,40,0,0,0,3666,3704,7371,739,860,1601,110,99,213,6625,6723,13350,2489,2049,4536,16432,15332,31762
LGA37400,330,292,617,71,66,134,13,8,23,3,3,9,65,71,133,0,3,3,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,89,92,179,3,5,8,0,3,3,162,170,326,64,55,114,555,511,1059
LGA37550,302,331,632,18,14,36,0,0,0,0,0,0,60,63,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,66,126,0,0,0,9,11,22,89,94,187,21,10,37,414,441,852
LGA37570,80,116,198,14,9,21,0,0,0,0,0,0,14,14,20,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,16,18,28,0,0,0,0,0,0,24,25,50,4,0,7,114,136,254
LGA37600,1001,991,1993,16,18,32,0,0,0,0,0,0,106,112,220,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,110,120,226,0,0,0,14,3,19,140,138,280,7,10,20,1145,1139,2284
LGA39499,1044,637,1684,262,153,423,425,419,841,254,247,499,1987,1703,3689,85,88,165,146,127,276,57,58,117,42,40,82,24,23,48,0,0,0,3015,2704,5724,628,764,1394,103,52,159,4011,3681,7693,1703,1097,2804,6759,5414,12175
LGA39799,33,49,84,0,0,0,4,0,3,0,0,0,12,12,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,31,9,5,14,0,0,0,25,21,45,4,17,24,66,81,150
