LGA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA34710,1791,1869,3660,116,105,226,241,229,473,117,128,247,108,113,223,192,248,445,191,228,420,239,285,520,291,240,527,170,145,317,91,97,182,32,47,76,1609,1723,3333,176,144,322,91,78,170,12,14,22,3,0,9,101,97,195,1497,1536,3032,115,140,252,1583,1667,3244,48,47,89,1570,1639,3207,20,19,37,214,185,395,45,70,116,13,29,44,26,62,92,544,746,1289,100,111,209,365,361,729,108,51,156,111,79,190,5,3,9,1500,1615,3116,739,731,1469
LGA34770,58256,56713,114969,3957,3800,7757,8215,7802,16012,3733,3531,7264,3375,3323,6700,7664,7821,15483,7701,7576,15281,8692,8256,16946,7547,6863,14415,4591,4356,8952,2158,2364,4517,618,1027,1645,51850,53580,105426,6409,3137,9546,1770,1894,3664,618,679,1292,452,494,946,2839,3067,5909,46104,45503,91609,6470,6999,13472,50077,49543,99620,2920,3392,6310,49831,49605,99441,635,581,1212,7499,7122,14625,2258,2307,4567,427,701,1132,868,2136,3002,16886,19777,36659,4409,3848,8261,13540,12361,25902,2786,2339,5128,2868,2563,5428,141,113,253,50316,51976,102289,5265,4693,9955
LGA34800,432,364,796,37,25,58,33,48,79,9,14,21,23,23,50,75,53,124,78,52,130,66,49,118,69,52,123,37,29,72,15,8,25,0,4,9,394,329,729,40,28,67,14,19,32,3,0,3,0,0,0,18,16,39,361,307,669,32,24,58,393,328,717,6,12,17,378,319,694,0,3,5,28,44,73,3,8,8,0,0,0,9,11,18,132,135,270,28,16,43,125,82,207,22,12,40,28,15,43,0,3,0,332,325,657,626,183,809
LGA34830,151,157,310,13,23,38,25,27,47,13,9,22,11,19,33,22,17,43,16,14,28,14,22,33,20,17,44,7,7,12,7,0,5,0,0,0,144,145,287,5,12,23,77,78,164,0,3,3,50,61,110,134,144,277,144,159,304,3,0,3,131,137,270,13,17,29,148,159,308,3,11,9,25,25,43,3,3,5,0,3,3,0,0,3,19,23,44,12,8,25,41,46,85,11,9,26,17,19,31,0,0,0,143,148,295,25,18,40
LGA34860,6515,6150,12666,542,455,996,936,825,1762,387,305,693,357,373,729,938,920,1858,782,827,1614,860,821,1683,797,692,1492,559,471,1027,278,316,589,82,141,225,5946,5756,11706,566,394,959,441,436,878,3,5,13,10,11,19,456,452,910,5320,5077,10393,453,446,900,5599,5365,10959,253,231,480,5585,5348,10930,79,67,146,811,718,1522,212,164,374,30,67,96,81,218,301,1704,2221,3919,361,319,676,1531,1220,2751,304,203,502,435,322,753,36,27,60,5513,5377,10895,1948,1050,2991
LGA34880,11310,10251,21557,534,523,1064,1449,1367,2812,628,593,1228,668,454,1128,1301,1037,2339,1376,1257,2635,1584,1515,3100,1609,1507,3117,1297,1197,2489,678,595,1267,179,202,379,10621,9726,20352,683,522,1204,1343,964,2310,180,41,226,175,90,267,1705,1093,2797,8324,7224,15545,1733,1842,3570,8253,8080,16333,1067,1114,2183,8760,8555,17318,72,83,153,1222,1157,2385,341,370,711,32,70,107,108,311,425,2937,3367,6304,700,637,1336,2166,2073,4241,549,403,953,784,649,1438,54,72,131,9206,9199,18408,2304,1313,3619
LGA35010,208170,217136,425302,14610,13804,28417,31137,29583,60716,14105,13497,27602,12953,12746,25704,25082,26921,52002,27744,29875,57623,28053,29770,57823,23530,25551,49090,19491,20933,40430,8676,9865,18548,2783,4580,7364,197914,208822,406732,10258,8312,18573,5544,5793,11337,312,315,626,312,300,612,6163,6411,12571,155584,160475,316064,39996,43400,83392,182301,189081,371380,13341,15944,29288,177487,185473,362953,2598,2381,4976,28908,27350,56255,9247,9583,18828,2574,3462,6033,3946,8577,12524,75370,85116,160484,14517,14154,28676,41863,44052,85909,9292,8886,18176,7807,8063,15874,545,515,1061,193270,203673,396943,11242,11777,23019
LGA35250,563,579,1143,47,48,95,140,117,251,54,54,105,36,45,83,84,95,182,67,79,146,64,70,134,41,45,77,21,28,47,12,8,17,0,0,0,535,522,1054,30,56,83,466,498,959,3,0,6,13,3,15,481,502,983,533,534,1062,18,17,37,454,464,915,75,65,141,541,542,1078,11,5,18,114,101,215,8,12,16,4,3,3,4,8,13,87,102,194,46,61,108,115,119,233,29,29,53,37,45,85,6,9,16,518,511,1029,51,61,114
LGA35300,9656,9012,18671,873,843,1712,1411,1355,2763,581,536,1118,703,699,1398,1798,1732,3526,1326,1268,2596,1305,1229,2532,950,750,1708,508,397,902,175,160,335,30,53,80,8975,8414,17389,683,597,1283,1392,1557,2951,39,39,84,58,66,122,1489,1663,3149,6916,6394,13314,1513,1500,3015,7708,7144,14855,758,839,1602,7520,7077,14597,109,120,222,1187,1158,2342,290,281,568,40,96,131,218,424,638,2941,3360,6300,649,526,1175,1914,1440,3352,409,304,714,376,247,623,44,31,78,8288,7892,16184,1809,1445,3254
LGA35600,2131,2180,4307,168,161,333,300,273,570,133,91,224,131,139,267,245,289,533,240,252,496,276,319,598,304,295,601,193,175,364,105,117,221,35,65,102,1934,1990,3928,202,184,388,248,266,516,8,10,19,8,6,9,263,280,546,1827,1826,3649,132,158,297,1902,1933,3831,93,100,185,1910,1922,3834,23,15,38,264,240,502,66,51,117,5,24,30,23,61,85,548,705,1248,112,145,255,488,439,932,126,101,226,193,153,353,15,12,27,1906,1955,3856,386,350,737
LGA35670,495,464,957,49,51,105,104,81,187,43,39,84,39,54,99,68,69,136,63,57,120,67,55,124,36,30,70,13,14,28,3,4,10,0,0,0,473,433,908,20,23,48,244,267,507,41,35,79,172,148,313,458,452,907,476,450,927,9,6,19,319,290,608,163,163,324,484,458,945,10,9,24,80,73,155,21,14,33,0,0,3,3,4,10,96,87,179,52,71,117,102,104,202,44,35,74,36,31,64,4,0,4,471,447,917,38,18,52
LGA35740,25340,26810,52149,1099,1068,2170,3264,3016,6278,1470,1371,2838,959,886,1846,1870,2015,3887,2939,3210,6144,3602,4359,7959,4007,4439,8442,3851,3797,7647,1751,1810,3565,539,837,1373,23575,25418,48996,1766,1384,3153,367,368,732,18,20,41,8,13,17,386,395,782,18275,19110,37384,5299,5972,11270,22499,23646,46145,1146,1503,2646,21794,23082,44869,228,218,446,2986,2769,5751,1005,991,1999,191,238,425,400,948,1352,10263,11450,21715,1970,2052,4027,5117,5539,10656,1088,986,2075,704,763,1468,53,41,92,22947,24733,47678,4300,4673,8974
LGA35760,5353,5129,10478,277,245,518,674,670,1339,277,261,538,218,228,444,549,508,1051,520,574,1091,766,700,1467,785,740,1525,762,685,1442,416,359,772,124,162,292,4954,4817,9771,402,306,709,298,323,621,11,11,20,19,20,37,328,355,678,4125,4046,8176,510,467,982,4439,4361,8803,273,223,499,4417,4345,8769,29,28,62,567,565,1132,144,163,309,15,31,44,43,92,136,1176,1422,2598,265,297,560,1310,1183,2494,364,251,610,594,436,1032,29,21,50,4594,4468,9064,993,819,1816
LGA35780,1359,1434,2796,204,197,402,320,307,625,129,122,246,112,136,241,180,223,401,138,170,307,134,145,277,96,96,190,42,38,82,8,10,13,6,0,6,1262,1347,2614,97,91,187,68,83,151,428,468,897,675,715,1392,1169,1268,2439,1276,1356,2630,46,37,80,208,191,400,1068,1167,2237,1308,1378,2684,31,41,70,298,277,576,54,59,116,0,12,9,17,49,69,353,436,783,118,172,289,192,176,367,49,31,78,59,62,120,0,0,0,1287,1379,2663,290,268,561
LGA35790,1209,1235,2446,145,182,324,244,217,457,114,108,223,116,111,232,163,188,347,142,131,268,171,150,325,82,115,199,38,31,69,5,4,8,0,0,0,1144,1172,2317,71,56,130,933,960,1892,8,21,27,196,180,380,1138,1161,2298,1174,1191,2362,13,27,47,1100,1136,2238,70,71,142,1186,1202,2388,16,19,36,218,196,411,34,29,57,0,0,3,7,16,18,179,233,405,100,128,231,273,256,528,108,87,196,126,90,216,9,4,9,1162,1184,2349,87,65,159
LGA35800,815,824,1640,57,57,116,93,102,195,30,33,67,32,54,83,84,97,176,88,79,164,103,129,234,160,134,294,105,89,198,61,28,89,11,18,29,728,723,1449,88,107,193,193,253,450,0,0,0,4,3,5,198,260,458,705,719,1424,37,33,67,746,754,1503,14,9,19,736,739,1483,3,3,12,77,82,159,12,23,31,0,11,15,6,20,26,195,247,438,35,64,100,209,178,389,61,32,90,78,54,138,12,7,22,724,710,1437,227,202,423
LGA36070,375,378,749,37,32,69,65,70,132,28,22,50,20,39,53,36,63,100,60,56,122,63,45,109,33,27,64,16,19,41,7,8,9,0,0,0,346,357,704,25,24,50,292,310,601,6,3,15,9,13,22,307,324,630,353,350,707,12,18,32,136,136,268,217,238,452,363,364,727,15,7,20,46,60,109,3,7,13,0,0,0,3,0,3,46,70,120,24,43,71,97,86,182,30,27,48,49,34,85,9,6,21,358,361,711,44,20,67
LGA36150,436,377,813,32,20,54,68,48,115,20,4,33,23,20,48,58,65,122,37,45,78,71,76,143,62,51,112,46,25,73,9,17,26,3,9,9,394,333,727,45,42,87,72,57,128,0,0,0,0,3,5,72,58,134,385,338,721,25,28,49,410,355,764,4,4,9,396,351,747,3,5,8,63,47,110,5,7,9,5,10,12,5,15,23,124,145,272,28,13,42,109,84,194,27,17,42,29,21,49,0,0,0,390,337,721,91,65,156
LGA36250,71985,75022,147010,4223,3883,8102,10072,9427,19502,5083,4648,9730,4228,3965,8191,7745,8020,15769,8854,9606,18459,10070,11122,21188,9594,10278,19872,7403,7954,15357,3477,4079,7557,1233,2044,3279,68229,71900,140128,3762,3123,6886,1482,1590,3073,109,84,186,69,102,171,1656,1772,3431,52487,54120,106607,15994,17208,33203,64379,66374,130749,4418,5357,9772,62383,65081,127465,763,740,1505,9465,8920,18386,3608,3544,7154,1022,1267,2287,1218,2541,3757,28200,31136,59331,5197,4747,9944,15268,16384,31646,2962,2861,5824,2467,2703,5173,141,129,275,67504,70622,138134,2967,3567,6540
LGA36300,410,378,791,25,30,53,49,44,94,23,14,34,33,32,63,73,70,140,38,40,81,48,55,110,61,44,107,35,22,63,14,20,36,8,4,8,365,334,701,52,41,93,21,23,44,0,0,0,0,6,4,23,29,53,352,312,667,13,32,46,365,345,710,10,7,18,368,334,701,3,3,9,39,40,87,3,0,6,3,8,8,4,3,8,93,131,225,17,18,37,124,78,202,21,12,35,47,31,71,0,0,0,379,342,720,123,88,214
LGA36370,39402,40321,79726,2765,2747,5507,5717,5350,11069,2745,2805,5548,2672,2737,5408,5555,5538,11087,4686,4859,9543,5093,5253,10348,4686,4597,9284,3182,3249,6434,1727,2161,3889,582,1032,1609,36174,38350,74526,3232,1969,5203,2435,2710,5140,170,180,357,182,192,375,2790,3084,5874,32307,33647,65958,3777,3719,7494,34060,35461,69520,2353,2269,4624,34390,35805,70199,339,393,739,5192,4869,10064,1679,1830,3514,430,694,1125,836,1653,2485,12096,13914,26014,2502,2393,4895,8349,8646,16989,1970,1675,3644,2454,2257,4713,175,124,301,34681,36398,71081,4208,4276,8484
LGA36510,19761,20308,40072,1040,986,2022,2809,2755,5565,1264,1184,2446,883,879,1760,1700,1802,3505,2318,2590,4909,2886,3079,5967,2856,2936,5791,2483,2451,4940,1175,1187,2359,342,463,804,18779,19457,38240,982,854,1837,541,557,1096,29,29,56,35,39,70,602,622,1225,15244,15558,30803,2743,2977,5716,17496,18143,35640,579,703,1282,17065,17708,34767,164,161,331,2513,2490,4999,784,834,1619,120,198,316,287,630,920,6038,7309,13351,1314,1269,2583,4423,4355,8776,1101,898,1998,1181,1081,2259,45,41,81,17773,18544,36317,2330,2017,4344
LGA36580,12381,12215,24597,781,787,1570,1772,1694,3461,794,677,1472,551,607,1153,1173,1264,2439,1365,1476,2836,1685,1692,3375,1869,1841,3711,1578,1432,3015,664,558,1221,149,197,346,11724,11666,23386,657,548,1208,390,439,824,13,14,27,24,26,46,431,477,903,9700,9599,19297,1491,1482,2977,10881,10735,21618,497,514,1012,10695,10591,21287,100,122,217,1552,1492,3045,465,412,873,57,117,179,143,380,520,2989,3702,6689,790,800,1592,3092,2816,5908,846,640,1484,939,720,1662,46,27,71,11141,11154,22292,1160,1039,2196
LGA36630,16111,16071,32186,927,890,1820,2244,2066,4309,960,854,1816,784,737,1523,1433,1529,2962,1650,1800,3454,2081,2170,4249,2236,2421,4663,2364,2187,4548,1130,995,2129,307,407,715,15065,15248,30310,1054,822,1876,822,804,1618,28,23,49,45,50,91,890,869,1764,13329,13176,26503,1393,1574,2966,14452,14514,28966,338,453,792,14334,14441,28776,126,124,258,2012,1859,3874,541,510,1048,59,96,153,202,492,694,3665,4530,8195,985,1058,2042,4129,4005,8132,1117,914,2033,1446,1145,2593,65,48,112,14446,14658,29105,1529,1356,2889
LGA36660,17285,17831,35110,1008,984,1999,2407,2208,4614,1168,993,2156,881,807,1685,1563,1617,3175,1697,1962,3657,2192,2374,4560,2494,2688,5186,2397,2339,4735,1149,1292,2441,336,574,902,16196,16871,33068,1082,960,2040,723,763,1483,21,28,47,11,24,37,759,814,1576,14277,14624,28899,1737,1904,3639,15473,15953,31421,710,831,1536,15550,16063,31617,154,130,286,2216,2028,4244,726,643,1371,77,145,217,203,522,722,4648,5611,10259,1099,1078,2177,4351,4509,8859,1074,901,1972,1287,1133,2420,49,64,108,15723,16287,32011,1455,1423,2884
LGA36720,141965,152403,294367,7980,7675,15659,19387,18338,37720,8919,8786,17698,7636,7683,15316,15006,16190,31195,17752,19329,37079,19269,21851,41119,18202,20471,38678,16222,17643,33866,8634,9692,18330,2964,4749,7706,133150,145330,278479,8818,7079,15891,2602,2566,5170,159,148,303,126,115,243,2884,2830,5716,105731,112385,218114,27013,30542,57556,126940,135631,262574,6557,8277,14832,122020,131029,253050,1489,1399,2884,17979,17008,34979,5944,6409,12360,1864,2661,4529,3110,6565,9674,54541,62365,116907,10512,10828,21335,29244,32145,61389,6193,6090,12282,4731,4977,9706,265,236,505,129915,140683,270603,13379,15175,28553
LGA36820,12214,12617,24827,687,643,1327,1647,1534,3178,735,682,1413,525,501,1025,974,1100,2076,1165,1345,2513,1613,1807,3422,1947,2033,3989,1791,1715,3505,872,876,1755,259,366,622,11383,11902,23284,831,714,1544,691,792,1479,78,75,150,98,99,195,864,961,1823,9517,9686,19204,1463,1652,3121,10688,10976,21661,484,579,1064,10734,11052,21789,108,85,190,1457,1351,2809,398,438,836,37,91,123,119,356,473,3562,4124,7683,756,812,1563,2909,2952,5864,670,580,1255,785,704,1491,47,44,88,10885,11312,22201,1700,1710,3410
LGA36910,78166,82607,160779,5259,5054,10315,11154,11121,22277,5445,5225,10668,5232,4947,10175,9752,10046,19795,9185,9848,19030,9859,10611,20471,9373,10111,19490,7493,8313,15810,4069,4876,8947,1351,2456,3802,73481,78761,152239,4691,3849,8539,2961,3101,6060,86,98,192,88,92,183,3137,3294,6432,63190,67049,130242,9170,9630,18807,67638,71904,139538,5191,5276,10471,68189,72727,140913,860,832,1696,10207,10233,20440,3456,3663,7120,1206,1448,2648,2135,3590,5720,26672,30680,57354,4500,4678,9174,16615,17133,33749,3646,3209,6855,4332,4302,8634,287,305,591,70196,75110,145309,7049,7175,14223
LGA36950,1788,1826,3610,152,163,312,357,317,666,158,135,289,147,142,289,295,322,621,208,281,485,198,200,396,178,174,356,71,63,132,24,23,46,8,12,14,1591,1608,3199,198,216,410,43,45,88,872,925,1802,291,306,594,1209,1276,2482,1430,1447,2876,118,128,238,682,653,1335,810,882,1689,1518,1531,3050,32,43,73,304,274,579,78,64,142,10,4,16,34,83,113,548,622,1171,100,104,207,226,215,444,54,31,92,64,71,134,8,6,17,1550,1554,3105,393,355,752
LGA36960,2295,2221,4514,279,262,545,510,509,1017,198,153,350,187,226,406,360,340,699,246,245,492,230,191,422,177,184,353,78,83,165,24,26,51,5,7,6,2057,2022,4084,235,198,436,28,22,46,1836,1759,3590,234,269,502,2098,2052,4144,2146,2088,4232,95,87,178,126,114,243,1960,1942,3901,2174,2144,4315,55,55,112,452,449,897,49,53,106,10,21,25,15,41,57,606,665,1272,141,173,318,311,225,534,79,50,127,159,169,326,13,14,26,2070,2046,4109,226,125,358
LGA37010,93352,93402,186757,6596,6038,12635,12745,12333,25073,6847,6414,13258,8199,7538,15741,13808,13920,27731,12141,12698,24836,12021,12460,24477,10207,10302,20507,6950,6814,13761,2940,3474,6417,890,1417,2305,86712,89061,175770,6639,4349,10986,4788,4804,9591,912,987,1893,761,791,1549,6461,6578,13040,73400,73347,146744,12228,13360,25588,79112,79963,159081,6270,7144,13417,79830,80830,160659,1062,968,2032,11641,11328,22974,4339,4575,8918,1804,2739,4546,2568,4846,7416,34713,38558,73273,6760,5941,12704,17318,17366,34684,3732,3229,6964,3288,3162,6456,274,283,557,81588,85366,166950,12261,10373,22636
LGA37300,2097,1806,3905,208,163,370,340,323,667,104,118,221,127,93,221,355,355,710,380,318,695,332,274,608,201,111,316,50,38,84,7,5,9,0,0,3,1956,1670,3630,148,132,278,139,121,260,113,105,218,144,143,289,393,362,763,1669,1404,3072,195,202,398,1720,1461,3173,163,168,331,1807,1534,3344,22,21,41,289,294,586,53,68,124,9,6,19,31,77,105,684,696,1371,157,120,271,394,265,662,67,48,115,29,23,51,10,4,17,1751,1553,3311,711,369,1077
LGA37310,17128,16322,33444,1237,1159,2389,2599,2392,4992,1101,1005,2112,962,938,1898,2125,2018,4137,2120,2123,4249,2314,2198,4507,2029,1896,3923,1621,1438,3055,770,808,1577,242,352,599,15865,15356,31220,1266,964,2225,861,900,1759,27,34,60,34,31,60,923,959,1884,13807,13218,27024,1202,1185,2388,14593,14066,28657,608,571,1181,14541,13962,28499,196,182,378,2274,2072,4344,607,631,1240,80,140,227,214,467,683,4281,5122,9406,993,954,1940,3968,3361,7331,878,667,1547,1162,926,2085,52,41,97,14471,14194,28665,4561,2273,6834
LGA37340,17495,16284,33778,1062,954,2016,2148,1957,4105,889,778,1666,1064,1076,2143,2663,2544,5211,2286,2221,4505,2382,2231,4619,2395,2203,4598,1762,1418,3178,665,636,1304,176,263,440,15936,15372,31305,1554,914,2469,674,669,1346,77,73,150,62,79,143,811,826,1638,12452,11401,23857,2448,2738,5189,14147,13218,27373,985,1143,2127,13782,12823,26601,170,145,312,1821,1710,3530,457,454,909,77,130,205,197,525,719,4930,5539,10475,1345,1170,2508,4014,3351,7363,845,678,1515,747,625,1375,43,47,90,13754,13512,27269,6516,5876,12390
LGA37400,590,538,1134,37,33,68,59,56,116,24,27,50,20,38,55,67,65,130,56,57,112,75,88,160,98,75,175,84,67,155,46,27,73,20,15,32,535,488,1029,53,47,103,40,38,78,8,10,15,9,3,6,53,54,108,485,458,945,29,30,53,517,482,1004,7,9,19,519,476,993,5,3,8,55,46,106,3,16,20,0,10,11,3,23,27,134,201,331,30,29,65,175,107,283,35,24,59,50,32,78,9,3,10,520,484,1004,327,295,624
LGA37550,470,492,962,51,57,107,108,105,217,45,46,88,51,55,113,59,61,120,55,52,104,48,64,105,36,35,72,9,21,29,4,0,4,0,0,0,440,471,911,29,22,49,414,436,851,3,0,3,23,30,51,437,472,908,449,471,922,7,4,14,395,429,817,47,44,90,453,476,927,7,3,9,97,88,184,19,19,35,0,0,0,0,3,5,62,68,124,36,50,84,110,134,238,36,30,67,25,35,59,3,0,6,429,472,900,37,32,61
LGA37570,131,148,282,19,15,31,14,19,31,10,6,18,14,13,28,23,29,52,17,24,33,16,18,39,13,15,35,4,5,10,0,0,0,0,0,0,122,145,259,13,7,22,114,143,258,0,0,0,7,0,6,116,141,260,130,149,275,4,0,4,47,43,88,81,104,186,127,151,273,0,0,3,16,14,31,0,0,3,0,0,0,0,0,0,26,31,57,18,16,33,28,31,56,14,11,27,17,18,27,0,0,0,125,152,274,3,3,11
LGA37600,1278,1278,2559,133,138,270,308,290,597,128,130,257,119,113,224,192,174,368,139,126,270,133,163,296,89,84,176,25,43,67,7,14,23,0,4,5,1232,1243,2472,51,39,88,1153,1181,2335,10,10,18,73,67,140,1241,1254,2491,1270,1270,2538,3,0,7,1087,1075,2165,148,153,303,1270,1270,2537,21,21,43,290,258,546,40,59,100,3,7,10,8,17,26,227,221,450,124,163,280,287,270,559,102,87,187,59,52,114,9,7,17,1226,1251,2476,59,49,107
LGA39499,6937,5572,12510,182,160,339,249,233,489,212,203,408,559,576,1133,1288,1005,2293,964,514,1485,975,688,1663,1147,1224,2373,1120,798,1916,225,153,381,19,18,44,0,0,0,6937,5572,12510,423,255,678,42,24,67,21,29,51,488,310,799,4186,3164,7348,1580,1575,3157,4759,3934,8697,636,657,1293,4444,3602,8050,15,12,25,179,179,353,58,76,131,73,96,169,124,177,295,2120,2089,4206,492,379,867,1468,1198,2664,448,281,729,325,186,510,50,24,70,0,0,0,0,0,0
LGA39799,66,87,150,0,3,3,0,0,4,3,5,11,3,4,11,4,6,11,7,3,14,10,7,24,7,19,30,13,16,33,7,7,16,0,0,4,56,81,135,10,3,21,0,3,6,0,0,0,0,0,0,0,5,3,43,50,89,18,20,40,56,56,110,7,10,21,51,65,116,0,0,0,0,0,4,3,5,7,0,0,0,0,3,3,24,23,50,7,9,15,13,26,39,3,7,11,5,6,17,0,0,0,0,0,0,940,1037,1974
