LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA34590,114881,119965,234848,54015,31143,85156,13214,26535,39749,3415,3634,7052,6571,6254,12825,77224,67565,144780,30195,44744,74942,8.5,9.3,8.9,67.2,56.3,61.6,61.5,51.1,56.2,2061,2216,4274,834,1751,2584,7502,12154,19656,7437,11952,19389,31667,16641,48308,1292,2194,3487,1933,2945,4878,34895,21780,56672,112169,114643,226809,23425,24304,47731,71648,72270,143922,56564,59671,116235
LGA34710,1432,1538,2964,773,596,1363,130,298,424,57,95,153,46,26,70,1003,1011,2012,287,401,686,4.6,2.6,3.5,70,65.7,67.9,67,64.3,65.5,21,28,47,9,40,52,83,220,303,98,131,235,327,169,498,27,32,58,20,34,48,366,233,608,1319,1362,2683,269,309,580,888,881,1765,612,718,1328
LGA34770,46089,45114,91204,22787,11558,34348,4083,11169,15255,1646,1483,3130,2630,2338,4966,31149,26546,57697,10378,15480,25859,8.4,8.8,8.6,67.6,58.8,63.3,61.9,53.7,57.8,518,622,1140,328,721,1047,2483,5018,7500,2253,3516,5765,15648,6040,21690,369,788,1160,568,972,1543,16588,7801,24391,43144,42289,85434,8183,8970,17149,28008,26676,54684,20719,22137,42855
LGA34800,372,290,665,253,153,411,15,42,56,15,9,24,9,5,17,295,213,507,43,60,101,3.1,2.3,3.4,79.3,73.4,76.2,76.1,70.3,73.8,3,4,4,0,7,7,25,40,59,13,19,33,96,30,128,0,13,12,9,6,14,103,51,150,327,281,612,56,54,108,228,192,417,141,115,254
LGA34830,111,112,224,35,34,67,6,3,10,0,0,3,18,9,32,64,46,114,51,57,102,28.1,19.6,28.1,57.7,41.1,50.9,36.9,33,35.7,0,0,0,0,3,3,3,3,8,3,9,11,33,17,48,9,7,17,0,0,0,39,28,67,116,128,246,25,20,41,89,83,180,40,44,83
LGA34860,5039,4872,9908,2764,1735,4499,450,1044,1496,182,177,359,150,100,246,3548,3058,6603,955,1361,2317,4.2,3.3,3.7,70.4,62.8,66.6,67.4,60.7,64.1,37,72,112,26,74,97,274,629,902,303,469,772,1201,609,1815,61,85,149,78,99,178,1350,798,2148,4735,4437,9172,946,1009,1956,3055,2785,5839,2220,2325,4550
LGA34880,9321,8358,17681,3093,1867,4955,920,1853,2770,281,274,557,430,320,751,4720,4311,9036,3619,3182,6805,9.1,7.4,8.3,50.6,51.6,51.1,46.1,47.8,46.8,121,149,263,50,118,165,493,893,1388,448,723,1176,2134,926,3062,91,135,221,130,186,317,2355,1241,3599,7820,7633,15456,1289,1371,2659,5507,5346,10852,3196,3244,6439
LGA35010,162425,173755,336175,74956,43099,118054,18693,42721,61417,4686,5332,10023,8179,7673,15857,106516,98829,205347,46271,64634,110906,7.7,7.8,7.7,65.6,56.9,61.1,60.5,52.5,56.4,3612,3691,7301,1863,3530,5393,13111,21096,34207,13112,19086,32192,46074,23884,69956,1763,2822,4584,2680,4277,6953,50516,30982,81492,156314,162975,319290,32733,35464,68194,97754,100793,198553,82627,89640,172274
LGA35250,378,418,793,116,96,213,24,50,71,10,10,26,60,36,99,213,195,408,130,172,302,28.2,18.5,24.3,56.3,46.7,51.5,39.7,37.3,39.1,3,0,6,4,4,11,13,32,45,14,11,25,59,24,81,7,9,12,4,9,9,64,35,100,464,482,951,73,66,142,416,421,838,86,95,178
LGA35300,7372,6820,14193,4218,2558,6773,460,1280,1739,326,263,588,311,274,582,5319,4370,9688,1132,1653,2781,5.8,6.3,6,72.2,64.1,68.3,67.9,60.1,64.1,114,155,263,43,135,179,462,871,1333,295,468,765,2433,850,3285,81,111,194,74,119,191,2589,1080,3667,6540,5974,12514,1565,1715,3280,3891,3470,7358,3699,3675,7377
