LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA36150,0,8,22,9,14,12,0,0,0,68,0,0,14,8,12,4,0,0,0,44,0,0,4,0,10,5,3,0,0,23,0,0,7,3,3,3,0,0,0,13,0,0,3,0,11,3,0,0,0,25,0,0,0,0,3,0,0,0,0,3,3,0,10,5,8,18,8,3,0,57,33,48,122,78,143,112,73,26,9,648
LGA36250,30,668,2293,2318,2546,2033,767,190,62,10915,10,283,1628,1744,1854,1378,390,95,27,7408,5,135,1237,1611,1875,1283,279,61,20,6502,3,60,626,1123,1221,778,133,36,10,3993,3,33,701,1675,1959,1056,245,36,20,5731,9,14,222,752,1115,709,197,57,28,3102,526,425,836,999,1128,1130,1118,921,792,7875,9730,8191,15769,18459,21188,19872,15357,7557,3279,119405
LGA36300,0,0,26,9,5,14,3,3,0,62,0,4,13,10,3,5,0,0,0,40,0,0,5,0,5,5,0,0,0,24,0,0,3,0,4,0,8,0,0,18,0,0,0,4,4,6,0,0,0,16,0,0,0,4,3,3,0,0,0,9,7,4,13,13,11,12,8,7,0,71,34,63,140,81,110,107,63,36,8,638
LGA36370,20,486,1347,1063,1056,896,253,73,29,5221,7,226,907,816,843,528,119,25,5,3468,3,100,733,683,685,516,78,19,3,2816,3,48,430,477,496,358,58,14,0,1881,3,41,667,688,774,454,57,15,0,2698,7,17,136,283,343,248,66,37,12,1136,582,484,953,800,984,889,710,568,416,6388,5548,5408,11087,9543,10348,9284,6434,3889,1609,63147
LGA36510,7,130,413,514,632,541,191,55,9,2509,4,59,245,399,441,309,99,22,3,1568,0,15,202,354,403,291,76,22,0,1371,0,5,94,201,266,151,49,7,3,769,0,0,101,296,307,181,51,20,9,961,3,3,30,99,127,106,61,21,4,460,338,183,422,445,557,590,546,287,103,3475,2446,1760,3505,4909,5967,5791,4940,2359,804,32494
LGA36580,11,85,316,307,345,295,100,21,5,1494,7,25,195,224,212,190,45,8,4,905,0,12,102,195,179,130,31,0,0,651,0,0,58,104,118,82,15,3,0,385,3,3,66,105,128,86,15,5,0,418,0,4,17,46,48,46,20,9,5,194,237,116,193,297,325,404,301,142,40,2057,1472,1153,2439,2836,3375,3711,3015,1221,346,19567
LGA36630,11,114,295,329,387,264,112,48,12,1569,5,54,184,174,212,176,47,9,4,858,0,18,143,168,185,160,20,3,4,709,0,9,68,113,120,90,14,0,0,417,0,19,104,178,217,127,19,4,4,667,3,3,48,62,77,62,31,10,3,303,258,154,259,346,423,421,472,309,91,2736,1816,1523,2962,3454,4249,4663,4548,2129,715,26054
LGA36660,11,118,308,378,459,426,192,59,19,1958,0,37,183,231,293,207,65,17,0,1034,0,23,105,177,265,159,62,13,11,816,0,4,61,116,139,89,27,7,3,450,0,7,54,115,137,99,29,9,3,461,5,7,30,45,68,67,33,12,3,261,257,127,258,269,337,427,493,339,180,2693,2156,1685,3175,3657,4560,5186,4735,2441,902,28501
LGA36720,64,982,3864,4162,4610,3461,1637,566,212,19565,11,416,2460,3006,3211,2260,918,234,79,12593,5,167,1837,2790,3068,1985,554,152,65,10614,7,86,992,1809,1942,1162,352,110,35,6500,0,80,1291,2383,2707,1580,474,131,44,8699,16,39,469,1419,1695,1046,443,141,60,5323,1464,1304,2404,2572,2892,2792,2801,2243,2038,20506,17698,15316,31195,37079,41119,38678,33866,18330,7706,240989
LGA36820,7,67,208,251,317,287,131,43,15,1323,0,22,126,165,202,197,55,20,6,792,0,10,95,151,196,143,32,12,0,658,0,4,53,91,112,114,35,6,0,412,0,4,73,113,139,114,33,8,3,484,0,4,23,60,70,57,31,15,9,271,210,116,205,239,370,430,427,293,163,2451,1413,1025,2076,2513,3422,3989,3505,1755,622,20319
LGA36910,58,923,2603,2130,2321,1951,724,211,91,11025,17,408,1737,1582,1657,1190,351,100,24,7076,3,179,1318,1507,1583,1145,273,56,17,6077,4,64,710,980,1065,760,163,44,23,3805,0,77,814,1228,1450,891,195,57,11,4720,11,23,234,582,640,467,199,62,28,2249,1079,838,1501,1418,1565,1595,1671,1334,1097,12090,10668,10175,19795,19030,20471,19490,15810,8947,3802,128188
LGA36950,4,15,54,40,44,17,4,0,0,182,0,16,46,42,38,24,3,0,0,169,3,8,38,38,35,17,4,3,0,144,0,0,19,33,22,16,3,0,0,95,0,0,32,40,41,35,5,0,0,153,0,0,6,10,5,9,0,0,0,30,83,78,185,86,85,56,25,7,0,601,289,289,621,485,396,356,132,46,14,2627
LGA36960,0,8,24,27,24,11,0,0,0,104,0,9,14,10,11,4,0,0,0,48,0,0,9,16,4,3,0,0,0,40,0,0,3,9,8,0,0,0,0,20,0,0,3,10,10,5,0,0,0,26,0,0,0,3,9,3,0,0,0,14,138,66,109,32,41,31,14,0,0,436,350,406,699,492,422,353,165,51,6,2954
LGA37010,118,1574,3674,2813,2719,1988,704,125,50,13772,40,888,2966,2365,2111,1421,352,55,24,10218,11,302,2121,2216,2110,1270,223,45,10,8309,8,71,1122,1464,1399,861,135,23,5,5099,0,81,1260,1987,1971,1023,187,29,10,6561,13,31,317,765,817,531,145,38,15,2675,1326,1781,2804,2246,2251,1862,1472,863,404,15014,13258,15741,27731,24836,24477,20507,13761,6417,2305,149046
LGA37300,4,20,68,55,56,21,3,0,0,231,3,14,60,56,45,13,3,0,0,194,0,9,71,67,64,34,9,0,0,244,0,12,96,78,76,24,9,0,0,289,0,17,136,131,111,60,6,0,0,462,0,0,13,44,33,16,3,0,0,109,45,38,66,76,77,47,16,0,0,359,221,221,710,695,608,316,84,9,3,2866
LGA37310,20,201,479,468,475,337,110,44,6,2135,0,109,357,264,269,199,67,17,0,1283,0,31,244,274,270,165,45,14,4,1042,0,23,159,198,167,115,33,10,0,707,0,32,259,279,261,131,52,9,7,1027,4,14,88,172,139,85,44,24,3,573,327,218,523,521,587,546,482,276,128,3601,2112,1898,4137,4249,4507,3923,3055,1577,599,26057
LGA37340,6,212,625,469,470,386,143,35,7,2358,0,54,304,300,314,246,55,7,5,1292,0,35,236,276,285,197,57,13,0,1096,0,16,134,173,180,112,31,5,0,646,0,20,246,330,272,149,44,4,3,1062,7,7,66,159,150,114,39,9,3,563,314,392,927,638,612,611,475,228,115,4310,1666,2143,5211,4505,4619,4598,3178,1304,440,27657
LGA37400,0,9,11,12,19,23,6,0,0,89,0,8,12,10,13,17,8,0,0,59,0,4,7,7,12,3,3,0,0,33,0,0,7,0,4,0,3,0,0,19,0,0,5,8,4,0,0,0,0,23,0,0,0,3,3,6,5,0,0,19,3,7,11,10,15,29,31,12,13,129,50,55,130,112,160,175,155,73,32,949
LGA37550,0,0,0,0,4,4,3,0,0,12,0,0,3,3,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,17,26,7,10,11,7,0,0,0,84,88,113,120,104,105,72,29,4,0,637
