LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA32310,4,8,17,31,74,130,309,226,87,869,0,3,0,0,9,13,8,7,6,42,64,72,140,181,194,167,177,135,33,1161,384,554,1187,1417,1515,1560,1313,675,211,8813
LGA32330,3,0,10,10,12,17,22,4,0,81,0,0,3,0,5,0,4,3,5,26,3,20,6,7,8,0,0,0,0,49,78,122,148,146,121,82,37,10,5,754
LGA32450,0,4,8,6,14,34,66,27,3,170,0,0,0,3,3,0,7,3,0,15,25,28,82,69,54,67,39,22,8,394,98,202,551,422,416,385,206,64,20,2364
LGA32500,8,0,11,10,16,38,69,27,8,189,0,0,6,0,0,3,9,3,0,22,31,77,100,75,92,124,109,29,9,643,132,291,528,507,563,686,504,135,31,3372
LGA32600,0,0,0,0,0,3,3,0,3,10,0,0,0,0,0,0,0,0,0,3,0,4,14,11,14,15,3,0,0,70,3,24,37,45,49,49,20,4,4,231
LGA32750,0,0,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,10,9,6,3,7,5,3,0,0,40,24,38,43,33,42,36,17,0,0,234
LGA32770,6,5,17,10,13,21,15,4,0,99,0,0,3,0,0,0,0,0,0,7,3,10,5,9,8,3,0,3,0,46,76,126,222,177,102,80,24,12,0,814
LGA32810,3,4,10,10,32,65,104,85,36,347,0,0,3,0,0,0,7,5,0,20,57,80,249,236,242,291,207,136,63,1560,281,512,1520,1573,1806,1893,1259,535,159,9534
LGA33100,0,0,3,0,11,18,26,20,3,79,0,0,0,0,3,5,0,0,0,11,4,3,20,14,14,9,18,4,0,93,25,27,112,74,126,127,108,41,3,644
LGA33200,0,3,5,0,11,21,63,29,14,148,0,0,0,0,0,0,3,3,0,17,4,16,20,11,20,21,21,11,3,135,44,103,179,156,223,215,206,78,28,1239
LGA33220,25,32,113,212,376,779,2414,1862,735,6553,3,9,20,33,56,50,58,52,17,297,385,459,899,1077,1206,1480,1752,1315,555,9131,2668,4278,8687,10696,12929,15573,16129,8017,2555,81525
LGA33360,7,13,55,87,176,296,774,548,178,2142,3,9,18,18,22,19,14,5,6,114,282,317,694,725,835,666,425,258,92,4307,1833,3629,8551,8832,9203,7267,4149,1721,509,45701
LGA33430,94,140,459,595,982,1757,3837,3449,2032,13347,23,63,224,202,209,237,214,197,122,1491,2220,3079,6594,5780,5907,5520,5399,4161,3014,41674,17597,37190,76367,76522,74914,64058,52881,26817,11636,437986
LGA33610,3,3,9,23,34,96,221,170,80,654,0,0,0,0,6,3,10,3,5,29,57,43,151,133,151,185,156,118,51,1052,316,541,1289,1241,1403,1410,1069,588,216,8073
LGA33620,8,19,73,88,173,404,1203,856,353,3179,3,8,7,19,15,18,38,15,5,131,183,158,380,431,649,752,804,561,279,4210,1360,2168,4456,5208,6972,7713,7008,3107,1035,39021
LGA33800,0,5,4,15,43,98,301,371,219,1060,0,0,6,3,3,7,13,6,9,54,39,43,71,84,126,156,169,148,81,929,283,449,842,1053,1521,1727,1518,996,415,8808
LGA33830,0,0,4,10,21,21,19,9,3,80,0,0,0,0,0,0,0,0,0,3,26,14,6,8,6,0,3,0,0,66,78,81,139,130,101,69,28,17,7,641
LGA33960,67,103,342,428,687,1107,2506,1850,891,7983,14,13,79,136,211,202,133,91,29,907,859,1096,2284,1884,1922,1587,1288,953,380,12254,6968,13898,29989,26197,24361,19040,12326,6156,2226,141164
LGA33980,9,11,15,24,51,109,176,92,32,513,0,0,7,3,5,7,7,3,0,33,115,247,748,591,501,321,138,44,9,2718,502,1274,4014,3466,2781,1948,797,255,72,15118
LGA34420,0,0,3,4,11,43,20,5,3,94,0,0,0,0,0,0,3,0,0,4,7,4,13,3,3,0,0,0,0,33,50,82,154,126,119,95,35,5,7,669
