LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA33980,67,0,0,0,3,76,26,0,0,0,0,26,22,0,0,0,0,22,57,0,0,0,0,58,58,0,0,0,3,59,125,3,0,0,0,130,125,0,0,0,0,127,167,0,3,0,0,168,83,0,0,0,0,88,56,0,0,0,0,58,22,0,0,0,0,22,65,0,0,0,0,67,886,6,4,10,5,913
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34530,185,5,3,0,0,197,75,3,3,0,0,84,79,3,0,0,0,89,147,0,4,0,0,153,193,3,3,0,0,202,567,7,13,4,3,594,721,7,14,5,0,745,1109,4,12,5,4,1142,592,0,5,0,0,601,377,0,3,0,0,386,155,0,3,0,0,157,196,4,4,3,0,201,4392,46,72,23,14,4547
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34580,165,0,0,0,0,165,152,0,0,0,0,154,122,0,0,3,0,127,231,0,0,3,0,237,294,3,0,7,0,311,1018,6,0,9,5,1040,1011,5,0,14,4,1041,1059,3,0,12,3,1079,291,0,0,0,6,302,185,0,0,0,0,185,83,0,0,0,0,86,212,0,0,6,0,217,4820,20,4,57,29,4928
LGA34590,1450,45,10,0,3,1512,687,42,7,3,0,744,630,39,11,0,0,676,1162,102,13,0,0,1279,1627,139,45,7,3,1820,5543,468,93,8,11,6132,8079,313,49,7,13,8463,9881,135,25,9,12,10055,3801,22,11,7,4,3839,2065,27,3,3,3,2096,877,17,0,0,0,893,1654,38,11,0,3,1705,37458,1376,284,51,55,39220
LGA34710,36,0,0,0,0,35,9,0,0,0,0,11,7,0,0,0,0,7,20,0,0,0,0,17,33,0,0,0,0,33,79,0,0,0,0,79,55,0,0,0,0,56,51,0,0,0,0,51,12,0,0,0,0,12,6,0,0,0,0,6,7,0,0,0,0,7,19,0,0,0,0,21,336,0,0,5,4,344
LGA34770,571,9,6,7,3,596,202,11,0,0,0,215,187,11,4,3,0,200,359,20,7,3,0,389,593,28,14,5,0,640,1697,86,26,12,4,1825,2312,105,21,9,5,2445,3666,61,31,12,9,3781,2059,25,17,4,4,2105,1325,19,9,4,3,1362,566,4,10,6,0,588,637,13,3,3,3,656,14167,390,151,66,40,14809
LGA34800,6,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,6,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,8,45,0,0,3,0,43
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
